Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolate,Isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Strain
SRR11597121,AMPLICON,601,165607801,PRJNA627662,SAMN14678598,Pathogen.cl,71233143,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-01-29,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164057,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0010,sputum,not applicable,SH0010,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0010,SRP258105,not applicable
SRR11597122,AMPLICON,601,131400674,PRJNA627662,SAMN14678678,Pathogen.cl,59366410,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-01-31,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164056,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0099,oralpharyngeal,not applicable,SH0099,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0099,SRP258105,not applicable
SRR11597123,AMPLICON,601,130188653,PRJNA627662,SAMN14678677,Pathogen.cl,59833237,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-02,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164055,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0098,oralpharyngeal,not applicable,SH0098,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0098,SRP258105,not applicable
SRR11597125,AMPLICON,601,99112801,PRJNA627662,SAMN14678675,Pathogen.cl,45389129,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-02,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164053,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0096,oralpharyngeal,not applicable,SH0096,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0096,SRP258105,not applicable
SRR11597126,AMPLICON,600,45130813,PRJNA627662,SAMN14678674,Pathogen.cl,21916750,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-01-31,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164052,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0095,oralpharyngeal,not applicable,SH0095,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0095,SRP258105,not applicable
SRR11597127,AMPLICON,601,282907742,PRJNA627662,SAMN14678673,Pathogen.cl,135108006,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-01-31,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164051,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0094,oralpharyngeal,not applicable,SH0094,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0094,SRP258105,not applicable
SRR11597128,AMPLICON,601,45497107,PRJNA627662,SAMN14678672,Pathogen.cl,21862450,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-01-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164050,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0092,oralpharyngeal,not applicable,SH0092,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0092,SRP258105,not applicable
SRR11597130,AMPLICON,601,26574785,PRJNA627662,SAMN14678670,Pathogen.cl,13746992,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-01,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164048,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0090,oralpharyngeal,not applicable,SH0090,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0090,SRP258105,not applicable
SRR11597131,AMPLICON,601,61646564,PRJNA627662,SAMN14678669,Pathogen.cl,29365469,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-01,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164047,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0089,oralpharyngeal,not applicable,SH0089,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0089,SRP258105,not applicable
SRR11597132,AMPLICON,601,203553727,PRJNA627662,SAMN14678597,Pathogen.cl,90731274,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-01-29,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164046,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0009,oralpharyngeal,not applicable,SH0009,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0009,SRP258105,not applicable
SRR11597133,AMPLICON,601,51892830,PRJNA627662,SAMN14678668,Pathogen.cl,25537635,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-01,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164045,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0087,oralpharyngeal,not applicable,SH0087,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0087,SRP258105,not applicable
SRR11597134,AMPLICON,601,135631561,PRJNA627662,SAMN14678667,Pathogen.cl,62278072,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-01-31,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164044,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0086,oralpharyngeal,not applicable,SH0086,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0086,SRP258105,not applicable
SRR11597135,AMPLICON,601,150013934,PRJNA627662,SAMN14678666,Pathogen.cl,68856336,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-01-31,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164043,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0085,oralpharyngeal,not applicable,SH0085,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0085,SRP258105,not applicable
SRR11597136,AMPLICON,601,198235428,PRJNA627662,SAMN14678665,Pathogen.cl,89938636,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164042,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0083,oralpharyngeal,not applicable,SH0083,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0083,SRP258105,not applicable
SRR11597137,AMPLICON,601,34996820,PRJNA627662,SAMN14678664,Pathogen.cl,19016963,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-01-31,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164041,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0082,oralpharyngeal,not applicable,SH0082,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0082,SRP258105,not applicable
SRR11597138,AMPLICON,601,91545310,PRJNA627662,SAMN14678663,Pathogen.cl,39625723,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-01,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164040,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0081,sputum,not applicable,SH0081,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0081,SRP258105,not applicable
SRR11597139,AMPLICON,601,109665887,PRJNA627662,SAMN14678662,Pathogen.cl,46755435,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-08,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164039,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0080,sputum,not applicable,SH0080,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0080,SRP258105,not applicable
SRR11597141,AMPLICON,601,50260841,PRJNA627662,SAMN14678660,Pathogen.cl,22760182,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-05,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164037,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0078,sputum,not applicable,SH0078,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0078,SRP258105,not applicable
SRR11597142,AMPLICON,601,131143084,PRJNA627662,SAMN14678659,Pathogen.cl,56088931,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-06,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164036,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0077,sputum,not applicable,SH0077,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0077,SRP258105,not applicable
SRR11597143,AMPLICON,601,131821930,PRJNA627662,SAMN14678596,Pathogen.cl,58233557,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-01-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164035,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0008,sputum,not applicable,SH0008,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0008,SRP258105,not applicable
SRR11597144,AMPLICON,601,144643762,PRJNA627662,SAMN14678658,Pathogen.cl,61983638,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-01,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164034,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0076,sputum,not applicable,SH0076,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0076,SRP258105,not applicable
SRR11597145,AMPLICON,601,173312692,PRJNA627662,SAMN14678657,Pathogen.cl,78547395,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-01-30,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164033,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0075,sputum,not applicable,SH0075,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0075,SRP258105,not applicable
SRR11597146,AMPLICON,601,135302551,PRJNA627662,SAMN14678656,Pathogen.cl,58684557,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164032,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0074,sputum,not applicable,SH0074,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0074,SRP258105,not applicable
SRR11597147,AMPLICON,601,135729190,PRJNA627662,SAMN14678655,Pathogen.cl,58613183,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-05,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164031,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0073,sputum,not applicable,SH0073,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0073,SRP258105,not applicable
SRR11597148,AMPLICON,601,117497681,PRJNA627662,SAMN14678654,Pathogen.cl,51547484,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-01,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164030,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0072,sputum,not applicable,SH0072,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0072,SRP258105,not applicable
SRR11597149,AMPLICON,601,91840248,PRJNA627662,SAMN14678653,Pathogen.cl,39974957,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164029,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0071,sputum,not applicable,SH0071,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0071,SRP258105,not applicable
SRR11597150,AMPLICON,601,114923345,PRJNA627662,SAMN14678652,Pathogen.cl,49644129,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164028,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0070,sputum,not applicable,SH0070,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0070,SRP258105,not applicable
SRR11597151,AMPLICON,601,120261867,PRJNA627662,SAMN14678651,Pathogen.cl,51817165,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-01,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164027,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0069,sputum,not applicable,SH0069,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0069,SRP258105,not applicable
SRR11597152,AMPLICON,601,87010754,PRJNA627662,SAMN14678650,Pathogen.cl,38214137,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-05,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164026,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0068,sputum,not applicable,SH0068,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0068,SRP258105,not applicable
SRR11597153,AMPLICON,601,128618227,PRJNA627662,SAMN14678649,Pathogen.cl,55527008,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-01,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164025,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0067,sputum,not applicable,SH0067,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0067,SRP258105,not applicable
